open,high,low,close,volume
373.97555624,374.39516142,373.8389406,374.36588664,2030528.0
374.34637012,376.09309866,374.20975448,375.97599954,3469108.0
375.97599954,376.55173688,375.68325174,376.33705516,2372122.0
376.33705516,376.36632994,375.77107608,375.8881752,1797074.0
375.8881752,376.29802212,375.78083434,375.9857578,1315117.0
375.9857578,376.40536298,375.8393839,376.29802212,918443.0
376.30290125,376.3760882,375.12703092,375.22949265,1580971.0
375.22949265,375.24413004,374.38540316,375.205097,2294057.0
375.21485526,375.7905926,375.16118483,375.60518566,1384174.0
375.61494392,376.01503258,375.4978448,375.67837261,1128619.0
375.67349348,375.74668043,374.98065702,374.98065702,1039762.0
375.00017354,376.23947256,373.08755458,374.10729275,6080039.0
374.11217188,375.3514709,372.1800364,372.277619,3636143.0
372.277619,373.4974015,371.9360799,372.88263112,3429443.0
372.88263112,373.9853145,372.49230072,373.75111626,2510648.0
373.81942408,374.78549182,373.70232496,373.9853145,2218755.0
374.0341058,374.48298576,373.39006064,373.73159974,2481241.0
373.76087452,373.87797364,372.05317902,372.31665204,3607828.0
372.3264103,374.23902926,372.01414598,374.21463361,7184850.0
374.229271,374.69766748,374.229271,374.48298576,5372253.0
